Noise,SNR,Model,EER
AirConditioner,0,campplus,0.09024072333032303
AirConditioner,0,ecapa_tdnn,0.0896759247817524
AirConditioner,0,redimnet,0.077030663592313
AirConditioner,10,campplus,0.046449375838198456
AirConditioner,10,ecapa_tdnn,0.04985663187804569
AirConditioner,10,redimnet,0.037518202158350014
AirConditioner,15,campplus,0.03526913461232482
AirConditioner,15,ecapa_tdnn,0.039136531489914986
AirConditioner,15,redimnet,0.02863285791900732
AirConditioner,20,campplus,0.028281766069334538
AirConditioner,20,ecapa_tdnn,0.03193563540871104
AirConditioner,20,redimnet,0.022715203504396743
AirConditioner,5,campplus,0.06444445251728331
AirConditioner,5,ecapa_tdnn,0.06638181353052665
AirConditioner,5,redimnet,0.052850295906671896
Babble,0,campplus,0.14646308929295562
Babble,0,ecapa_tdnn,0.14243703180857575
Babble,0,redimnet,0.13525582751863957
Babble,10,campplus,0.06658725688348902
Babble,10,ecapa_tdnn,0.06839493496947358
Babble,10,redimnet,0.05520698289877258
Babble,15,campplus,0.04758261729540464
Babble,15,ecapa_tdnn,0.050504850552830806
Babble,15,redimnet,0.0380608836816423
Babble,20,campplus,0.035927668996279166
Babble,20,ecapa_tdnn,0.039334400212119064
Babble,20,redimnet,0.02827224062512302
Babble,5,campplus,0.09821720527278398
Babble,5,ecapa_tdnn,0.09684044806274475
Babble,5,redimnet,0.08718632057625118
noisy_gaussian,0,campplus,0.17507574403977227
noisy_gaussian,0,ecapa_tdnn,0.16572624709725298
noisy_gaussian,0,redimnet,0.15023238705429107
noisy_gaussian,10,campplus,0.06595820922715728
noisy_gaussian,10,ecapa_tdnn,0.07061259381495343
noisy_gaussian,10,redimnet,0.05626276357223002
noisy_gaussian,15,campplus,0.04274118421221237
noisy_gaussian,15,ecapa_tdnn,0.04816935190152362
noisy_gaussian,15,redimnet,0.03574522063076824
noisy_gaussian,20,campplus,0.029985614648206975
noisy_gaussian,20,ecapa_tdnn,0.03516703379787513
noisy_gaussian,20,redimnet,0.025034592240642032
noisy_gaussian,5,campplus,0.10878981955692182
noisy_gaussian,5,ecapa_tdnn,0.10879750756781983
noisy_gaussian,5,redimnet,0.09127179563679523
Neighbor,0,campplus,0.2541141768019986
Neighbor,0,ecapa_tdnn,0.24431651347455852
Neighbor,0,redimnet,0.25753045813265985
Neighbor,10,campplus,0.09344649100842695
Neighbor,10,ecapa_tdnn,0.09301736163513384
Neighbor,10,redimnet,0.08646948104167049
Neighbor,15,campplus,0.05601719057631678
Neighbor,15,ecapa_tdnn,0.05822656997527027
Neighbor,15,redimnet,0.04393873925416852
Neighbor,20,campplus,0.037645463144405096
Neighbor,20,ecapa_tdnn,0.040770568900693374
Neighbor,20,redimnet,0.028371901161867503
Neighbor,5,campplus,0.16073043849282126
Neighbor,5,ecapa_tdnn,0.1557175870888785
Neighbor,5,redimnet,0.15650421851542765
noisy_poisson,0,campplus,0.046196117428318265
noisy_poisson,0,ecapa_tdnn,0.048946856051344335
noisy_poisson,0,redimnet,0.035940300433152765
noisy_poisson,10,campplus,0.024152264998216703
noisy_poisson,10,ecapa_tdnn,0.026574817004710392
noisy_poisson,10,redimnet,0.0189852285760932
noisy_poisson,15,campplus,0.021485553817618092
noisy_poisson,15,ecapa_tdnn,0.023848804275901688
noisy_poisson,15,redimnet,0.017370987774939853
noisy_poisson,20,campplus,0.019322315900972088
noisy_poisson,20,ecapa_tdnn,0.021175439408631612
noisy_poisson,20,redimnet,0.01489270797660688
noisy_poisson,5,campplus,0.03120493304228633
noisy_poisson,5,ecapa_tdnn,0.03454191443364503
noisy_poisson,5,redimnet,0.024192941045055552
noisy_rayleigh,0,campplus,0.1749175700987139
noisy_rayleigh,0,ecapa_tdnn,0.16520026949396138
noisy_rayleigh,0,redimnet,0.15048605320914177
noisy_rayleigh,10,campplus,0.0662252755320674
noisy_rayleigh,10,ecapa_tdnn,0.07129533773058919
noisy_rayleigh,10,redimnet,0.055272111820334306
noisy_rayleigh,15,campplus,0.04224433823916999
noisy_rayleigh,15,ecapa_tdnn,0.04791729668138381
noisy_rayleigh,15,redimnet,0.03564457400614843
noisy_rayleigh,20,campplus,0.029936293921728918
noisy_rayleigh,20,ecapa_tdnn,0.034680667677644675
noisy_rayleigh,20,redimnet,0.0248001992772106
noisy_rayleigh,5,campplus,0.11082435574803634
noisy_rayleigh,5,ecapa_tdnn,0.10939077719211088
noisy_rayleigh,5,redimnet,0.09096899479154993
