Noise,SNR,Model,EER
noisy_gaussian,0,ecapa_tdnn_ft_aug_25,0.08361013177030285
noisy_gaussian,0,ecapa_tdnn_ft_aug_50,0.08439374966543514
noisy_gaussian,0,ecapa_tdnn_ft,0.08555909146530424
noisy_gaussian,0,ecapa_tdnn,0.08172059431179396
noisy_gaussian,10,ecapa_tdnn_ft_aug_25,0.04575553455964593
noisy_gaussian,10,ecapa_tdnn_ft_aug_50,0.04511769568819136
noisy_gaussian,10,ecapa_tdnn_ft,0.04237357881766595
noisy_gaussian,10,ecapa_tdnn,0.03626443215291002
noisy_gaussian,15,ecapa_tdnn_ft_aug_25,0.036208202941918385
noisy_gaussian,15,ecapa_tdnn_ft_aug_50,0.036180698766143694
noisy_gaussian,15,ecapa_tdnn_ft,0.03377691940660771
noisy_gaussian,15,ecapa_tdnn,0.02595791844790496
noisy_gaussian,20,ecapa_tdnn_ft_aug_25,0.03028035983956182
noisy_gaussian,20,ecapa_tdnn_ft_aug_50,0.03032765791802737
noisy_gaussian,20,ecapa_tdnn_ft,0.02848892109024994
noisy_gaussian,20,ecapa_tdnn,0.020256694317293232
noisy_gaussian,5,ecapa_tdnn_ft_aug_25,0.060353015309451294
noisy_gaussian,5,ecapa_tdnn_ft_aug_50,0.06000603699323232
noisy_gaussian,5,ecapa_tdnn_ft,0.057896224093398035
noisy_gaussian,5,ecapa_tdnn,0.05224199210192523
noisy_poisson,0,ecapa_tdnn_ft_aug_25,0.033964751039089414
noisy_poisson,0,ecapa_tdnn_ft_aug_50,0.03310845895649744
noisy_poisson,0,ecapa_tdnn_ft,0.03341307477467136
noisy_poisson,0,ecapa_tdnn,0.032818782621623285
noisy_poisson,10,ecapa_tdnn_ft_aug_25,0.023400643753098166
noisy_poisson,10,ecapa_tdnn_ft_aug_50,0.02350981991475339
noisy_poisson,10,ecapa_tdnn_ft,0.023284268755978825
noisy_poisson,10,ecapa_tdnn,0.018369562892750213
noisy_poisson,15,ecapa_tdnn_ft_aug_25,0.022263059279230918
noisy_poisson,15,ecapa_tdnn_ft_aug_50,0.022396275326860518
noisy_poisson,15,ecapa_tdnn_ft,0.022012595813141453
noisy_poisson,15,ecapa_tdnn,0.016033341030053664
noisy_poisson,20,ecapa_tdnn_ft_aug_25,0.021643272643320867
noisy_poisson,20,ecapa_tdnn_ft_aug_50,0.021933015207955903
noisy_poisson,20,ecapa_tdnn_ft,0.02138914106195057
noisy_poisson,20,ecapa_tdnn,0.014545758598806427
noisy_poisson,5,ecapa_tdnn_ft_aug_25,0.02700344842320394
noisy_poisson,5,ecapa_tdnn_ft_aug_50,0.026521715160793317
noisy_poisson,5,ecapa_tdnn_ft,0.026353374360463915
noisy_poisson,5,ecapa_tdnn,0.02289381464633221
noisy_rayleigh,0,ecapa_tdnn_ft_aug_25,0.0840650650204453
noisy_rayleigh,0,ecapa_tdnn_ft_aug_50,0.08476828124181765
noisy_rayleigh,0,ecapa_tdnn_ft,0.08635055121496087
noisy_rayleigh,0,ecapa_tdnn,0.08169199875488457
noisy_rayleigh,10,ecapa_tdnn_ft_aug_25,0.04577027750380073
noisy_rayleigh,10,ecapa_tdnn_ft_aug_50,0.04490340097101324
noisy_rayleigh,10,ecapa_tdnn_ft,0.042459208431432305
noisy_rayleigh,10,ecapa_tdnn,0.036097808180961664
noisy_rayleigh,15,ecapa_tdnn_ft_aug_25,0.03610493367914433
noisy_rayleigh,15,ecapa_tdnn_ft_aug_50,0.0362305722151125
noisy_rayleigh,15,ecapa_tdnn_ft,0.033928772008197536
noisy_rayleigh,15,ecapa_tdnn,0.025877625924276816
noisy_rayleigh,20,ecapa_tdnn_ft_aug_25,0.030073455401986162
noisy_rayleigh,20,ecapa_tdnn_ft_aug_50,0.03016615936518162
noisy_rayleigh,20,ecapa_tdnn_ft,0.02843793156530646
noisy_rayleigh,20,ecapa_tdnn,0.020056875291427717
noisy_rayleigh,5,ecapa_tdnn_ft_aug_25,0.06055128259165808
noisy_rayleigh,5,ecapa_tdnn_ft_aug_50,0.060275236238955934
noisy_rayleigh,5,ecapa_tdnn_ft,0.05821420429578575
noisy_rayleigh,5,ecapa_tdnn,0.05294139796311641
AirConditioner,0,ecapa_tdnn_ft_aug_25,0.06297829653336211
AirConditioner,0,ecapa_tdnn_ft_aug_50,0.06329089948305819
AirConditioner,0,ecapa_tdnn_ft,0.05973380893688543
AirConditioner,0,ecapa_tdnn,0.04756439414451967
AirConditioner,10,ecapa_tdnn_ft_aug_25,0.04088173060510277
AirConditioner,10,ecapa_tdnn_ft_aug_50,0.03968438859297908
AirConditioner,10,ecapa_tdnn_ft,0.03681552212274365
AirConditioner,10,ecapa_tdnn,0.028218607009108887
AirConditioner,15,ecapa_tdnn_ft_aug_25,0.034774907977360776
AirConditioner,15,ecapa_tdnn_ft_aug_50,0.03373531401817646
AirConditioner,15,ecapa_tdnn_ft,0.03137289713774112
AirConditioner,15,ecapa_tdnn,0.023428954049217614
AirConditioner,20,ecapa_tdnn_ft_aug_25,0.03047060799210981
AirConditioner,20,ecapa_tdnn_ft_aug_50,0.029602923377346924
AirConditioner,20,ecapa_tdnn_ft,0.027678951224606688
AirConditioner,20,ecapa_tdnn,0.020031688557361184
AirConditioner,5,ecapa_tdnn_ft_aug_25,0.04998388520705274
AirConditioner,5,ecapa_tdnn_ft_aug_50,0.048966868107950465
AirConditioner,5,ecapa_tdnn_ft,0.04529895974756787
AirConditioner,5,ecapa_tdnn,0.035446475824967245
