Noise,SNR,Model,EER,Filter,Window_Size
AirConditioner,0,campplus,0.3609251955284973,mean,12
AirConditioner,0,ecapa_tdnn,0.27593472644410544,mean,12
AirConditioner,0,redimnet,0.3439240747337254,mean,12
AirConditioner,10,campplus,0.28509297165046843,mean,12
AirConditioner,10,ecapa_tdnn,0.19864236509047573,mean,12
AirConditioner,10,redimnet,0.25294798034692334,mean,12
AirConditioner,15,campplus,0.24132604980477346,mean,12
AirConditioner,15,ecapa_tdnn,0.16735122437549033,mean,12
AirConditioner,15,redimnet,0.2070185010825245,mean,12
AirConditioner,20,campplus,0.199728652373954,mean,12
AirConditioner,20,ecapa_tdnn,0.14175241718361994,mean,12
AirConditioner,20,redimnet,0.17072938821687628,mean,12
AirConditioner,5,campplus,0.3268364132667899,mean,12
AirConditioner,5,ecapa_tdnn,0.23508883463362956,mean,12
AirConditioner,5,redimnet,0.3011041840347107,mean,12
Babble,0,campplus,0.2703092542859624,mean,12
Babble,0,ecapa_tdnn,0.2550359010118916,mean,12
Babble,0,redimnet,0.23667560343111382,mean,12
Babble,10,campplus,0.16789130359510573,mean,12
Babble,10,ecapa_tdnn,0.14930280457865763,mean,12
Babble,10,redimnet,0.15391921799750194,mean,12
Babble,15,campplus,0.14022096857305122,mean,12
Babble,15,ecapa_tdnn,0.1233845304493286,mean,12
Babble,15,redimnet,0.13118402452471592,mean,12
Babble,20,campplus,0.12334191277400433,mean,12
Babble,20,ecapa_tdnn,0.10777362342608289,mean,12
Babble,20,redimnet,0.11632953584109329,mean,12
Babble,5,campplus,0.21048035049204278,mean,12
Babble,5,ecapa_tdnn,0.1913124646856808,mean,12
Babble,5,redimnet,0.18745194367709572,mean,12
gaussian,0,campplus,0.19299937849527943,mean,12
gaussian,0,ecapa_tdnn,0.18756925579836417,mean,12
gaussian,0,redimnet,0.1913657963592875,mean,12
gaussian,10,campplus,0.14864326844964004,mean,12
gaussian,10,ecapa_tdnn,0.1277593617049171,mean,12
gaussian,10,redimnet,0.14419589308531017,mean,12
gaussian,15,campplus,0.1389498393426732,mean,12
gaussian,15,ecapa_tdnn,0.11659028878729066,mean,12
gaussian,15,redimnet,0.13071910125575856,mean,12
gaussian,20,campplus,0.1337152559786225,mean,12
gaussian,20,ecapa_tdnn,0.11071696787957644,mean,12
gaussian,20,redimnet,0.1238383339604057,mean,12
gaussian,5,campplus,0.16556115015473927,mean,12
gaussian,5,ecapa_tdnn,0.15035082423975843,mean,12
gaussian,5,redimnet,0.16127574582883505,mean,12
Neighbor,0,campplus,0.3090452198804301,mean,12
Neighbor,0,ecapa_tdnn,0.2981152209118586,mean,12
Neighbor,0,redimnet,0.3168363479101632,mean,12
Neighbor,10,campplus,0.17546244796352822,mean,12
Neighbor,10,ecapa_tdnn,0.16691059185836357,mean,12
Neighbor,10,redimnet,0.18371394956001358,mean,12
Neighbor,15,campplus,0.13954810216932587,mean,12
Neighbor,15,ecapa_tdnn,0.13058139523681148,mean,12
Neighbor,15,redimnet,0.14713651927113858,mean,12
Neighbor,20,campplus,0.12014900935240241,mean,12
Neighbor,20,ecapa_tdnn,0.10873163613451302,mean,12
Neighbor,20,redimnet,0.1254817470835376,mean,12
Neighbor,5,campplus,0.2333798846360743,mean,12
Neighbor,5,ecapa_tdnn,0.22362302578076293,mean,12
Neighbor,5,redimnet,0.24202397275626691,mean,12
poisson,0,campplus,0.17871238638548975,mean,12
poisson,0,ecapa_tdnn,0.16547344691817584,mean,12
poisson,0,redimnet,0.22495375414575386,mean,12
poisson,10,campplus,0.14065469710510625,mean,12
poisson,10,ecapa_tdnn,0.1140154759569115,mean,12
poisson,10,redimnet,0.12964626832693277,mean,12
poisson,15,campplus,0.13480422974194345,mean,12
poisson,15,ecapa_tdnn,0.10802627711668117,mean,12
poisson,15,redimnet,0.11827650637440287,mean,12
poisson,20,campplus,0.1339513808805185,mean,12
poisson,20,ecapa_tdnn,0.10635183787211092,mean,12
poisson,20,redimnet,0.11570634224753854,mean,12
poisson,5,campplus,0.14871084401597,mean,12
poisson,5,ecapa_tdnn,0.12950178795726197,mean,12
poisson,5,redimnet,0.16121229190125586,mean,12
rayleigh,0,campplus,0.1936071251299442,mean,12
rayleigh,0,ecapa_tdnn,0.18652803032963378,mean,12
rayleigh,0,redimnet,0.19226840482094104,mean,12
rayleigh,10,campplus,0.14914765450053175,mean,12
rayleigh,10,ecapa_tdnn,0.12837982399574743,mean,12
rayleigh,10,redimnet,0.14440442327304864,mean,12
rayleigh,15,campplus,0.13811890977382907,mean,12
rayleigh,15,ecapa_tdnn,0.11634347382453361,mean,12
rayleigh,15,redimnet,0.13077061909813836,mean,12
rayleigh,20,campplus,0.13406495907107197,mean,12
rayleigh,20,ecapa_tdnn,0.11011780182215306,mean,12
rayleigh,20,redimnet,0.12353521818276346,mean,12
rayleigh,5,campplus,0.16543152833558158,mean,12
rayleigh,5,ecapa_tdnn,0.15024891538166185,mean,12
rayleigh,5,redimnet,0.15990052538660432,mean,12
AirConditioner,0,campplus,0.4032094240465673,mean,25
AirConditioner,0,ecapa_tdnn,0.33613728625484507,mean,25
AirConditioner,0,redimnet,0.3975193184744698,mean,25
AirConditioner,10,campplus,0.3581568422822803,mean,25
AirConditioner,10,ecapa_tdnn,0.2814761437905135,mean,25
AirConditioner,10,redimnet,0.3513606911919712,mean,25
AirConditioner,15,campplus,0.3316716646560599,mean,25
AirConditioner,15,ecapa_tdnn,0.2551124314935842,mean,25
AirConditioner,15,redimnet,0.3222293969337442,mean,25
AirConditioner,20,campplus,0.3028182774631949,mean,25
AirConditioner,20,ecapa_tdnn,0.22966803755866605,mean,25
AirConditioner,20,redimnet,0.29106630113905374,mean,25
AirConditioner,5,campplus,0.3815361186787935,mean,25
AirConditioner,5,ecapa_tdnn,0.3086244135393783,mean,25
AirConditioner,5,redimnet,0.37666480457190604,mean,25
Babble,0,campplus,0.32235403290568765,mean,25
Babble,0,ecapa_tdnn,0.32364435339207587,mean,25
Babble,0,redimnet,0.3042979775643161,mean,25
Babble,10,campplus,0.23703058400347654,mean,25
Babble,10,ecapa_tdnn,0.21961698557253703,mean,25
Babble,10,redimnet,0.22516133221992235,mean,25
Babble,15,campplus,0.21142233653261228,mean,25
Babble,15,ecapa_tdnn,0.18760623740200538,mean,25
Babble,15,redimnet,0.19909471065273857,mean,25
Babble,20,campplus,0.19178343909881856,mean,25
Babble,20,ecapa_tdnn,0.16566004101928977,mean,25
Babble,20,redimnet,0.17950501152617565,mean,25
Babble,5,campplus,0.2730364776236248,mean,25
Babble,5,ecapa_tdnn,0.26475492640978737,mean,25
Babble,5,redimnet,0.2597368524651684,mean,25
